Seller,Package #,Item Type,Card Name,Set,Set Code,Collector #,Condition,Language,Finish,Rarity,Quantity,Unit Price,Total Price
TheBrokenLute,1560643,Single,"Toski, Bearer of Secrets",Kaldheim,KHM,197,Lightly Played,English,Non-Foil,rare,1,$5.39,$5.39
TheBrokenLute,1560643,Single,Hinterland Harbor,Marvel Super Heroes Commander,MSC,250,Near Mint,English,Non-Foil,rare,1,$0.30,$0.30
Spellfinder,1560638,Single,Beast Whisperer,Time Spiral Remastered,TSR,356,Moderately Played,English,Non-Foil,special,1,$8.08,$8.08
Analog Games,1560639,Single,Garruk's Uprising,Foundations,FDN,220,Near Mint,English,Non-Foil,uncommon,1,$0.52,$0.52
NUTMEG GAMES,1560644,Single,Origin of the Hulk,Marvel Super Heroes Commander,MSC,728,Lightly Played,English,Foil,uncommon,1,$0.60,$0.60
Hyperview Gaming,1560636,Single,Gamma Grotesque,Marvel Super Heroes Commander,MSC,562,Near Mint,English,Non-Foil,rare,1,$2.14,$2.14
The Wasteland Gaming,1560635,Single,Pyrewood Gearhulk,Aetherdrift,DFT,216,Near Mint,English,Non-Foil,mythic,1,$1.49,$1.49
Hometown Games,1560637,Single,Rootbound Crag,Teenage Mutant Ninja Turtles Eternal,TMC,72,Near Mint,English,Non-Foil,rare,1,$0.33,$0.33
NUTMEG GAMES,1560644,Single,Caltrops,Urza's Destiny,UDS,129,Lightly Played,English,Non-Foil,uncommon,1,$19.79,$19.79
The Wasteland Gaming,1560635,Single,Verdurous Gearhulk,Midnight Hunt Commander,MIC,145,Near Mint,English,Non-Foil,mythic,1,$0.49,$0.49
Hometown Games,1560637,Single,Frontier Bivouac,Tarkir: Dragonstorm,TDM,256,Near Mint,English,Non-Foil,uncommon,1,$0.27,$0.27
Spellfinder,1560638,Single,Cyclonic Rift,Secret Lair Drop,SLD,1869,Lightly Played,English,Non-Foil,rare,1,$32.61,$32.61
Hometown Games,1560637,Single,Rapid Hybridization,Tarkir: Dragonstorm Commander,TDC,162,Near Mint,English,Non-Foil,uncommon,1,$0.90,$0.90
Hometown Games,1560637,Single,"Rishkar, Peema Renegade",Starter Commander Decks,SCD,207,Near Mint,English,Non-Foil,rare,1,$0.19,$0.19
Hometown Games,1560637,Single,Professor Hulk,Marvel Super Heroes Commander,MSC,37,Near Mint,English,Non-Foil,rare,1,$3.51,$3.51
Hometown Games,1560637,Single,Incubation Druid,Final Fantasy Commander,FIC,309,Near Mint,English,Non-Foil,rare,1,$1.11,$1.11
Fox & Fable Games,1560641,Single,Steam Vents,Guilds of Ravnica,GRN,257,Near Mint,English,Non-Foil,rare,1,$12.98,$12.98
Spellfinder,1560638,Single,Chandra's Ignition,Modern Horizons 3 Commander,M3C,209,Moderately Played,English,Non-Foil,rare,1,$6.40,$6.40
Cape Fear Collectibles,1560646,Single,"Abomination, World Ravager",Marvel Super Heroes Commander,MSC,355,Near Mint,English,Non-Foil,rare,1,$1.66,$1.66
Hyperview Gaming,1560636,Single,Farseek,Marvel Super Heroes Commander,MSC,815,Near Mint,English,Non-Foil,common,1,$0.75,$0.75
Analog Games,1560639,Single,Inspiring Call,Foundations,FDN,226,Near Mint,English,Non-Foil,uncommon,1,$0.44,$0.44
Hometown Games,1560637,Single,Birds of Paradise,Marvel Super Heroes Commander,MSC,170,Near Mint,English,Non-Foil,rare,1,$7.63,$7.63
TheBrokenLute,1560643,Single,Chaos Warp,Marvel Super Heroes Commander,MSC,164,Near Mint,English,Non-Foil,rare,1,$0.36,$0.36
Analog Games,1560639,Single,Beast Within,Marvel Super Heroes Commander,MSC,169,Near Mint,English,Non-Foil,uncommon,1,$0.59,$0.59
Hometown Games,1560637,Single,Kessig Wolf Run,Modern Horizons 3 Commander,M3C,352,Near Mint,English,Non-Foil,rare,1,$0.38,$0.38
Hometown Games,1560637,Single,Shivan Reef,Aetherdrift Commander,DRC,170,Near Mint,English,Non-Foil,rare,1,$0.36,$0.36
Analog Games,1560639,Single,"Abomination, Irradiated Brute",Marvel Super Heroes Commander,MSC,511,Lightly Played,English,Foil,rare,1,$1.43,$1.43
FoundryStreetDenizen,1560640,Single,Rishkar's Expertise,Aether Revolt,AER,123,Near Mint,English,Non-Foil,rare,1,$3.35,$3.35
Spellfinder,1560638,Single,Kodama's Reach,Ultimate Masters,UMA,171,Moderately Played,English,Non-Foil,common,1,$1.82,$1.82
Analog Games,1560639,Single,Rejuvenating Springs,Marvel Super Heroes Commander,MSC,260,Near Mint,English,Non-Foil,rare,1,$4.88,$4.88
Hyperview Gaming,1560636,Single,Branching Evolution,The Lost Caverns of Ixalan Commander,LCC,234,Near Mint,English,Non-Foil,rare,1,$5.39,$5.39
Hometown Games,1560637,Single,Sol Ring,Murders at Karlov Manor Commander,MKC,237,Near Mint,English,Non-Foil,uncommon,1,$1.99,$1.99
NUTMEG GAMES,1560644,Single,Rogue's Passage,Foundations,FDN,264,Lightly Played,English,Non-Foil,uncommon,1,$0.51,$0.51
Hometown Games,1560637,Single,Scorched Geyser,Marvel Super Heroes Commander,MSC,264,Near Mint,English,Non-Foil,rare,1,$0.86,$0.86
Hyperview Gaming,1560636,Single,Fabled Passage,Secrets of Strixhaven Commander,SOC,130,Near Mint,English,Non-Foil,rare,1,$0.97,$0.97
Spellfinder,1560638,Single,Forest,Unstable,UST,216,Moderately Played,English,Non-Foil,common,3,$2.97,$8.91
